,index,start_time,end_time,text,wav_path,alignment_path,emotion,valence,arousal,dominance,gender
10,Ses01F_impro01_F010,066.4200,069.3400,Who the hell has a birth certificate?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F010.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F010.wdseg,xxx,1.5000,3.5000,3.5000,F
11,Ses01F_impro01_F011,072.4500,082.2600,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F011.wdseg,xxx,2.0000,3.5000,3.5000,F
12,Ses01F_impro01_F012,085.2700,088.0200,That's out of control.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F012.wdseg,ang,2.0000,3.5000,3.5000,F
13,Ses01F_impro01_F013,093.6700,097.0218,How long have you been working here?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F013.wdseg,xxx,2.0000,4.0000,3.5000,F
14,Ses01F_impro01_F014,097.8900,102.9600,"Clearly.  You know, do you have like a supervisor or something?",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F014.wdseg,xxx,2.5000,3.5000,3.5000,F
15,Ses01F_impro01_F015,103.9700,106.7100,That would - I would appreciate that.  Yeah.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_F015.wdseg,xxx,2.0000,3.5000,3.0000,F
16,Ses01F_impro01_M000,007.5712,010.4750,Do you have your forms?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M000.wdseg,xxx,2.5000,2.0000,2.5000,M
17,Ses01F_impro01_M001,010.9266,014.6649,Let me see them.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M001.wdseg,xxx,2.5000,2.0000,2.5000,M
18,Ses01F_impro01_M002,016.8352,019.7175,Who told you to get in this line?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M002.wdseg,xxx,2.0000,3.5000,3.5000,M
19,Ses01F_impro01_M003,023.4700,028.0300,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M003.wdseg,xxx,2.5000,3.5000,3.5000,M
20,Ses01F_impro01_M004,028.3950,031.2117,This form is a Z.X.four.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M004.wdseg,xxx,2.0000,4.0000,3.5000,M
21,Ses01F_impro01_M005,031.2660,039.3875,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M005.wdseg,xxx,2.0000,3.5000,3.5000,M
22,Ses01F_impro01_M006,041.2300,046.9800,No. I need another set of ID to prove this is actually you.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M006.wdseg,xxx,2.0000,3.5000,3.5000,M
23,Ses01F_impro01_M007,051.4000,057.6400,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M007.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M007.wdseg,xxx,2.5000,3.5000,3.0000,M
24,Ses01F_impro01_M008,058.1800,062.5900,"No.  I need another ID, a separate one.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M008.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M008.wdseg,xxx,2.0000,3.5000,3.5000,M
25,Ses01F_impro01_M009,065.5100,073.0000,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M009.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M009.wdseg,xxx,2.5000,3.5000,4.0000,M
26,Ses01F_impro01_M010,081.5900,086.0300,"Yeah.  We keep it on file, but we need an ID to access that file.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M010.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M010.wdseg,xxx,2.0000,4.5000,4.0000,M
27,Ses01F_impro01_M011,087.1500,094.3900,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M011.wdseg,ang,2.0000,4.0000,4.0000,M
28,Ses01F_impro01_M012,095.8600,098.6800,Actually too long.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M012.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M012.wdseg,xxx,3.0000,1.5000,2.0000,M
29,Ses01F_impro01_M013,101.8400,107.8700,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro01/Ses01F_impro01_M013.wdseg,ang,2.0000,4.5000,4.5000,M
30,Ses01F_impro02_F000,007.2688,016.6000,Did you get the mail? So you saw my letter?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F000.wdseg,sad,2.5000,2.0000,1.5000,F
31,Ses01F_impro02_F001,019.8500,022.7800,Yeah.  I know.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F001.wdseg,sad,2.0000,1.5000,1.5000,F
32,Ses01F_impro02_F002,026.5659,032.2895,I don't know.  I put in that. request too. They didn't...,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F002.wdseg,sad,2.0000,1.5000,1.5000,F
33,Ses01F_impro02_F003,032.3075,037.9600,"I guess, you know, everybody has to make sacrifices.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F003.wdseg,xxx,2.0000,2.0000,2.0000,F
34,Ses01F_impro02_F004,047.3400,053.1100,"There's people that have given more though, you know?",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F004.wdseg,sad,2.5000,2.0000,2.5000,F
35,Ses01F_impro02_F005,058.7500,061.3100,I know.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F005.wdseg,sad,2.0000,2.0000,2.5000,F
36,Ses01F_impro02_F006,064.2550,068.4700,"There's babies over there, though, that need mothers.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F006.wdseg,xxx,2.5000,2.5000,2.5000,F
37,Ses01F_impro02_F007,072.3900,078.5700,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F007.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F007.wdseg,sad,2.0000,3.5000,3.0000,F
38,Ses01F_impro02_F008,087.2031,091.0900,"Just, you know, kicking myself.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F008.wdseg,xxx,1.5000,2.0000,1.5000,F
39,Ses01F_impro02_F009,091.5500,095.8800,like you sign up because you need money and,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F009.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F009.wdseg,xxx,1.5000,1.5000,2.0000,F
40,Ses01F_impro02_F010,097.9400,102.1900,things just aren't what they seem.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F010.wdseg,sad,2.0000,1.5000,2.0000,F
41,Ses01F_impro02_F011,107.6800,111.0153,"We're doing the right thing, though.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F011.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F011.wdseg,sad,2.5000,2.5000,2.5000,F
42,Ses01F_impro02_F012,117.8300,120.8605,"If not me then, who?",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F012.wdseg,sad,3.5000,2.0000,1.5000,F
43,Ses01F_impro02_F013,127.8200,133.9455,"You'll videotape everything, yeah?",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F013.wdseg,sad,1.5000,2.0000,2.0000,F
44,Ses01F_impro02_F014,139.0300,146.4300,"Maybe you can send it to me, like stream it, yeah?",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F014.wdseg,sad,1.5000,2.0000,2.0000,F
45,Ses01F_impro02_F015,151.4221,155.0100,Last month--  Yeah.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F015.wdseg,sad,2.0000,2.5000,2.5000,F
46,Ses01F_impro02_F016,163.5400,165.7300,I have to find sitters.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F016.wdseg,xxx,2.0000,1.0000,2.5000,F
47,Ses01F_impro02_F017,169.3600,176.0150,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F017.wdseg,sad,3.5000,3.0000,2.5000,F
48,Ses01F_impro02_F018,176.0800,179.1300,And your mother is close by.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F018.wdseg,xxx,2.5000,2.5000,2.5000,F
49,Ses01F_impro02_F019,182.8300,185.8894,I'll send you lots of letters.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F019.wdseg,sad,2.5000,1.5000,2.0000,F
50,Ses01F_impro02_F020,186.5800,191.1100,And I want lots and lots and lots of pictures.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_F020.wdseg,sad,4.0000,2.0000,2.5000,F
51,Ses01F_impro02_M000,017.6000,020.6264,It's not fair.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M000.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M000.wdseg,sad,2.0000,2.5000,2.5000,M
52,Ses01F_impro02_M001,021.7600,027.5558,"I don't understand.  You've already done so much, I don't know why do you have to go back.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M001.wdseg,sad,2.0000,2.5000,2.5000,M
53,Ses01F_impro02_M002,038.8500,045.0900,"I don't know, it's just not fair.  I think you've already made your sacrifice.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M002.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M002.wdseg,sad,2.5000,3.0000,2.5000,M
54,Ses01F_impro02_M003,052.7100,059.0534,I just don't see how they can make you leave when you have a new baby - we have a new kid.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M003.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M003.wdseg,xxx,2.0000,3.0000,3.0000,M
55,Ses01F_impro02_M004,061.7500,065.0550,Then why is that fair?  Why--,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M004.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M004.wdseg,sad,2.0000,3.0000,2.0000,M
56,Ses01F_impro02_M005,069.3400,074.2900,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M005.wdseg,sad,2.0000,3.0000,1.5000,M
57,Ses01F_impro02_M006,080.0300,086.9900,I'm just trying to think of another way.  I'm just trying to...,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M006.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M006.wdseg,xxx,2.0000,3.0000,1.5000,M
58,Ses01F_impro02_M007,103.2700,107.1000,This is a stupid war.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M007.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M007.wdseg,xxx,2.0000,3.0000,2.5000,M
59,Ses01F_impro02_M008,110.5653,113.2000,I know.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M008.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M008.wdseg,xxx,2.5000,1.5000,2.0000,M
60,Ses01F_impro02_M009,114.1775,117.8500,I just don't see why it has to be you.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M009.wdseg,sad,2.0000,1.5000,2.5000,M
61,Ses01F_impro02_M010,120.4105,124.6300,What am I going to do? Huh?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M010.wdseg,sad,2.0000,2.0000,1.5000,M
62,Ses01F_impro02_M011,133.8800,137.1000,Yeah.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M011.wdseg,sad,2.5000,1.5000,2.5000,M
63,Ses01F_impro02_M012,147.0300,151.7101,Don't you guys have access to computers over there.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M012.wdseg,xxx,2.5000,2.0000,2.0000,M
64,Ses01F_impro02_M013,157.9800,162.7100,I just don't know how I'm going to do it without you.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M013.wdseg,sad,1.5000,2.0000,2.0000,M
65,Ses01F_impro02_M014,164.8850,169.5000,I can't raise a baby by myself.  How?,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M014.wdseg,sad,1.5000,3.0000,1.5000,M
66,Ses01F_impro02_M015,175.4700,176.7200,I know.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M015.wdseg,xxx,3.0000,3.0000,1.5000,M
67,Ses01F_impro02_M016,195.1047,199.5200,It's just not fair.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M016.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro02/Ses01F_impro02_M016.wdseg,xxx,2.0000,1.5000,2.5000,M
68,Ses01F_impro03_F000,004.8800,007.7400,Well Vegas was awesome.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F000.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F000.wdseg,hap,4.3333,2.6667,2.6667,F
69,Ses01F_impro03_F001,007.9300,011.3700,"And, um, I got married.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F001.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F001.wdseg,hap,4.0000,2.6667,2.6667,F
70,Ses01F_impro03_F002,012.8000,015.3700,Yeah.  In the old town part.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F002.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F002.wdseg,hap,4.3333,3.0000,2.3333,F
71,Ses01F_impro03_F003,015.8700,020.4867,Chuck. [LAUGHTER],data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F003.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F003.wdseg,hap,5.0000,4.0000,3.0000,F
72,Ses01F_impro03_F004,021.7500,025.5200,Um- Yes.  It was very romantic.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F004.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F004.wdseg,hap,4.6667,3.6667,2.3333,F
73,Ses01F_impro03_F005,025.5584,028.1400,It was at the slot machines.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F005.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F005.wdseg,hap,4.3333,4.0000,2.3333,F
74,Ses01F_impro03_F006,028.3700,034.7100,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F006.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F006.wdseg,hap,4.0000,3.3333,2.6667,F
75,Ses01F_impro03_F007,035.6349,040.1000,Hey.  Let's get married and I said okay.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F007.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F007.wdseg,hap,4.0000,3.3333,2.3333,F
76,Ses01F_impro03_F008,040.1200,042.7900,"Yeah.  Well.  You know, because he's leaving the next day.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F008.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F008.wdseg,hap,4.0000,3.3333,2.3333,F
77,Ses01F_impro03_F009,042.8400,044.5400,But we're going to have a honeymoon cruise.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F009.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F009.wdseg,hap,4.0000,2.6667,2.3333,F
78,Ses01F_impro03_F010,047.8700,051.0750,Oh.  I hadn't even thought about that.,data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F010.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F010.wdseg,hap,4.0000,3.3333,3.0000,F
79,Ses01F_impro03_F011,051.3600,053.4925,"He's not going to be a citizen, though.",data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F011.wav,data/IEMOCAP_full_release/Session1/sentences/ForcedAlignment/Ses01F_impro03/Ses01F_impro03_F011.wdseg,hap,4.0000,3.0000,2.3333,F
